#{"t_start": 1770881564.9366617, "env_id": "None"}
r,l,t
-134.5414,964,79.975245
-94.72201,191,79.996451
-42.96942,116,80.133099
-174.44862,349,80.392296
-200.31198,389,80.42849
-283.41034,402,80.61921
-78.345825,166,80.630415
-49.02344,242,80.687381
-300.2316,930,80.716844
-312.5785,866,80.871984
-50.010426,217,80.94703
-32.28955,69,80.9552
-328.22177,1360,81.043267
-107.22742,132,81.116001
-6.3006554,4,81.121004
-75.218864,407,81.122082
-109.39983,192,81.179973
-127.16206,420,81.227175
-67.26363,187,81.353266
-336.00763,1169,81.368367
-77.491234,208,81.381188
-91.98936,185,81.412069
-27.31819,33,81.421016
-920.6734,2149,81.431251
-134.34001,871,81.680785
-312.84427,471,81.80599
-144.22832,503,82.044297
-271.08554,708,82.213826
-415.14514,1151,82.443255
-276.78677,944,82.55308
-19.665623,69,82.636537
-189.20651,833,82.806848
-440.31165,1217,82.839468
-15.771129,78,82.902035
-256.36203,590,82.921026
-39.447544,451,82.985625
-1027.0825,1356,83.056916
-162.83119,460,83.191324
-83.31047,252,83.494988
-182.28157,556,83.509245
-687.6784,1569,83.570379
-157.31384,505,83.593269
-398.07544,1372,83.694556
-146.37315,418,84.005847
-181.21495,979,84.248112
-190.66394,629,84.469508
-428.36038,842,84.541385
-48.76093,62,84.616942
-49.898174,82,84.715174
-979.8926,1481,84.725272
-109.62196,235,84.996584
-373.13257,1174,85.025105
-534.6221,1888,85.192636
-224.64917,787,85.202034
-126.61329,255,85.301427
-212.6939,335,85.59954
-303.17136,772,85.647251
-132.86276,277,85.980299
-709.36487,1662,86.012307
-627.61847,1506,86.278332
-246.1546,588,86.30839
-688.41656,1102,86.347499
-413.66443,2298,86.351562
-626.8803,979,86.369566
-83.049385,341,86.393478
-56.86435,92,86.4619
-47.73618,109,86.479408
-33.49815,187,86.503565
-60.23745,131,86.625688
-55.753334,262,86.631079
-212.33534,556,86.691959
-97.83442,197,86.750628
-96.9583,128,86.790293
-174.44928,390,86.849452
-92.23332,279,86.968443
-93.81956,240,87.079561
-149.55928,381,87.150554
-276.357,638,87.172223
-264.00156,449,87.387512
-58.659298,187,87.395506
-176.6845,344,87.492236
-66.97237,319,87.535299
-225.96165,511,87.580747
-116.917366,188,87.614161
-141.01907,282,87.734105
-142.73004,295,87.891437
-1178.1614,2280,88.056924
-177.4811,522,88.213132
-93.838036,291,88.242603
-531.7021,772,88.424827
-281.44086,657,88.532
-29.773544,411,88.554044
-1404.3678,1852,88.725496
-574.513,1886,89.030864
-226.00903,414,89.058081
-34.646713,82,89.131865
-96.39968,344,89.145833
-359.88818,668,89.240817
-135.43808,313,89.439542
-759.2535,1207,89.710907
-481.58655,1245,89.726324
-71.60361,295,89.80118
-107.86101,231,89.993397
-173.47552,1254,90.057778
-303.79794,762,90.072242
-348.1957,692,90.081904
-136.989,307,90.44702
-113.80457,458,90.548295
-223.87485,688,90.563092
-1695.5919,2511,90.666439
-96.876495,487,90.675097
-169.09793,416,90.952588
-200.45447,636,91.329837
-223.97116,702,91.527428
-181.48502,825,91.679857
-738.4402,2100,91.689938
-198.5947,299,91.689963
-42.250027,63,91.755583
-38.278458,81,91.786011
-583.4304,1726,91.897526
-41.36195,242,92.189847
-240.61995,358,92.219504
-25.699984,40,92.240639
-673.4182,1103,92.293701
-346.28876,1853,92.311486
-31.805809,212,92.479081
-236.69698,436,92.825407
-102.61117,357,92.914854
-33.984653,82,92.926087
-56.077038,108,93.056711
-92.1039,138,93.081265
-11.514599,23,93.109895
-154.17279,661,93.118455
-237.08054,745,93.150158
-23.393414,63,93.194602
-675.2376,1218,93.236597
-47.587387,149,93.237442
-94.42316,156,93.300461
-35.106747,70,93.386086
-70.316826,141,93.409957
-87.05252,177,93.409991
-67.861115,109,93.544909
-53.577103,401,93.639167
-29.94547,201,93.656771
-46.655678,374,93.693886
-730.3884,2606,93.738071
-268.69617,2238,94.240861
-419.15518,2121,94.264815
-10.809243,71,94.327087
-256.52658,634,94.500978
-70.52042,228,94.600886
-543.50476,949,94.687167
-165.85933,1081,94.939662
-18.489336,41,94.99156
-307.79398,1205,95.111542
-63.957405,101,95.116542
-31.908543,92,95.22828
-427.74728,892,95.344658
-367.41714,852,95.533459
-102.8282,362,95.551485
-432.50058,1808,95.576339
-296.59225,1591,95.622422
-172.28961,353,95.660322
-52.024612,85,95.724126
-29.88547,46,95.7786
-165.94643,238,95.82619
-141.03268,225,95.851875
-35.925423,64,95.857686
-48.645405,269,96.15562
-123.62054,271,96.184271
-112.03782,549,96.224472
-337.9456,569,96.355569
-51.15323,172,96.366067
-41.4898,70,96.437979
-1318.2307,1548,96.57299
-34.14376,115,96.577326
-198.96077,365,96.625959
-201.36847,343,96.640554
-37.929688,140,96.797141
-269.90408,333,96.979128
-18.51739,43,97.031921
-246.85544,1457,97.120397
